"user_handle","assessment_tag","user_assessment_date","user_assessment_score"
8067,"aspnet-mvc-5","2017-07-01 01:30:07",66
2950,"aspnet-mvc-5","2017-07-20 02:43:15",135
8910,"html5","2017-09-30 07:14:43",69
8910,"python","2017-09-28 13:10:35",176
8910,"security-for-hackers-and-developers","2017-10-30 22:37:46",156
8188,"android","2017-02-04 12:07:51",183
8188,"angular-js","2016-10-01 09:19:48",171
8188,"aspnet-mvc-5","2017-02-19 11:28:49",198
8188,"c-sharp","2017-03-08 17:10:18",226
8188,"css","2017-09-24 21:40:29",199
8188,"html5","2017-04-03 11:50:56",228
8188,"java","2017-02-19 12:30:44",194
8188,"javascript","2017-10-08 17:47:17",152
8188,"jquery","2017-03-07 14:39:40",205
8188,"photoshop-photo-manipulation","2017-02-24 14:24:46",48
8188,"sharepoint","2016-09-22 12:22:10",119
6620,"active-directory-administration","2017-09-29 08:31:30",150
6620,"android","2017-09-28 14:36:16",124
6620,"aspnet-mvc-5","2017-09-29 00:34:24",114
6620,"c-plus-plus","2017-09-28 23:59:52",151
6620,"c-sharp","2017-10-06 10:22:02",198
6620,"css","2017-09-28 14:56:03",156
6620,"html5","2017-09-29 00:07:13",206
6620,"javascript","2017-09-28 15:29:00",151
6620,"jquery","2017-09-28 15:45:12",141
6620,"mysql","2017-09-28 14:45:55",159
6620,"node-js","2017-09-29 00:22:17",125
6620,"python","2017-09-28 15:53:23",128
65,"c-sharp","2017-10-26 17:53:04",101
5694,"angular-js","2017-09-21 03:12:27",155
5694,"c-sharp","2017-09-21 03:05:52",127
5694,"html5","2017-09-21 03:18:12",131
5225,"android","2017-04-18 10:55:37",94
5225,"aspnet-mvc-5","2017-05-12 15:26:46",169
5225,"c-sharp","2017-03-30 14:42:50",209
5225,"javascript","2017-08-14 07:19:38",173
6605,"javascript","2017-11-20 14:37:49",32
2054,"aspnet-mvc-5","2017-05-26 05:16:18",133
2054,"azure-for-developers","2017-11-21 16:28:47",46
2054,"unity-game-development-core-skills","2017-10-26 03:41:55",76
4069,"html5","2017-06-30 19:10:15",166
4069,"java","2017-02-12 12:59:54",162
4069,"javascript","2017-07-01 11:51:40",156
8115,"c-sharp","2017-03-17 08:41:21",195
8115,"css","2017-09-01 08:59:17",206
8115,"javascript","2017-03-17 08:46:36",252
8115,"python","2017-06-22 14:32:59",210
5947,"android","2017-08-31 07:25:40",151
5947,"angular-js","2017-10-11 12:38:03",102
5947,"java","2017-10-20 07:00:03",217
5947,"javascript","2017-10-11 11:57:40",147
1992,"c-sharp","2016-09-08 17:30:19",22
4420,"aspnet-mvc-5","2016-11-10 13:33:03",22
8437,"java","2017-07-18 09:10:56",59
4922,"c-sharp","2017-08-17 14:58:08",111
4215,"java","2017-07-28 07:25:38",188
7052,"docker","2017-02-28 12:04:26",89
7052,"graphic-design","2017-02-28 11:48:04",64
7052,"using-microsoft-office-2016","2017-09-28 13:34:32",120
174,"python","2017-02-03 00:20:49",80
4665,"android","2017-03-03 05:20:45",110
4665,"java","2017-09-20 17:57:11",170
7456,"c-sharp","2017-07-24 15:45:03",159
1617,"photoshop-photo-manipulation","2017-11-03 21:14:37",64
3140,"java","2017-10-23 18:02:08",117
3140,"javascript","2017-10-20 16:11:03",126
7618,"javascript","2017-11-13 13:44:35",194
3682,"c-sharp","2017-11-14 22:13:22",77
5725,"photoshop-photo-manipulation","2017-10-26 12:53:33",115
4103,"java","2017-10-06 10:54:21",209
5476,"css","2017-06-28 21:29:49",129
5476,"html5","2017-05-25 17:34:08",85
5476,"javascript","2017-09-01 02:20:34",143
8536,"c-sharp","2017-10-11 12:05:48",184
4220,"angular-js","2017-09-25 23:02:48",92
6189,"mysql","2017-09-19 08:03:18",123
6189,"python","2017-09-14 22:14:56",141
7899,"html5","2017-09-06 04:00:16",107
7904,"angular","2017-10-23 12:49:55",181
7904,"javascript","2017-10-09 12:51:03",149
6902,"group-policy-administration-and-troubleshooting","2017-02-24 22:17:41",245
28,"c-sharp","2016-11-09 08:55:00",105
8633,"aspnet-mvc-5","2017-10-02 01:48:58",158
8633,"c-sharp","2017-10-02 02:35:35",184
8633,"javascript","2017-10-02 17:28:40",210
7390,"html5","2017-07-06 01:18:35",166
7390,"javascript","2017-07-06 01:12:43",123
7390,"mysql","2017-07-06 01:22:27",64
5034,"angular-js","2017-07-18 07:05:57",73
1954,"photoshop-photo-manipulation","2017-03-09 15:01:18",40
6335,"java","2017-08-25 13:19:42",218
3949,"css","2017-10-24 04:31:54",74
3949,"java","2017-11-15 14:47:14",39
3949,"javascript","2017-10-24 04:11:50",90
3949,"jquery","2017-10-24 04:22:38",46
3949,"react","2017-10-24 04:27:18",57
7723,"c-sharp","2017-09-04 20:10:08",109
7723,"java","2017-09-04 21:14:00",115
3981,"css","2017-09-25 18:18:22",179
3981,"html5","2017-09-25 18:09:25",155
3981,"javascript","2017-09-25 17:40:27",133
3981,"mysql","2017-09-25 17:54:04",151
3981,"photoshop-photo-manipulation","2017-09-25 18:01:31",101
3981,"python","2017-09-25 17:48:35",174
2646,"c-sharp","2016-11-24 13:11:55",135
9479,"3ds-max-environment-modeling","2017-11-17 16:35:26",162
8066,"c-sharp","2017-10-22 22:26:59",168
4703,"javascript","2017-08-14 16:55:30",181
4703,"node-js","2017-10-13 17:23:58",84
5162,"after-effects-cc","2017-08-27 13:51:33",207
1184,"html5","2017-11-13 07:49:28",167
1184,"java","2017-11-13 07:26:34",130
6133,"css","2017-04-07 12:19:43",148
6133,"html5","2017-04-07 12:25:44",178
6133,"javascript","2017-04-07 12:30:46",91
6157,"html5","2017-10-02 14:47:53",126
6157,"python","2017-09-12 12:44:13",66
6157,"using-microsoft-office-2016","2017-09-29 15:53:14",163
9376,"c-sharp","2017-07-03 21:33:30",107
9376,"javascript","2017-07-03 21:27:43",188
9376,"python","2017-07-03 21:20:55",204
1068,"docker","2017-09-05 14:08:49",212
1068,"group-policy-administration-and-troubleshooting","2017-08-26 13:24:00",61
1068,"java","2017-07-22 16:23:24",59
1068,"mysql","2017-09-26 16:48:17",219
1068,"powershell","2017-08-26 13:37:38",109
1068,"puppet","2017-08-08 02:55:33",145
1068,"python","2017-07-23 02:16:32",146
1068,"react","2017-09-13 17:06:39",101
1068,"the-scrum-framework","2017-08-14 20:35:43",225
3041,"python","2017-07-18 19:08:28",55
9184,"java","2016-12-31 14:28:05",197
3794,"java","2017-09-29 14:25:01",153
2920,"javascript","2017-08-28 06:26:51",72
2920,"python","2017-08-28 18:19:39",91
2976,"graphic-design","2017-08-08 23:52:56",119
6078,"c-sharp","2017-04-18 13:33:32",166
6078,"the-scrum-framework","2017-09-15 14:52:40",133
906,"python","2017-07-29 13:39:09",75
875,"aspnet-mvc-5","2017-09-28 15:20:57",153
821,"javascript","2017-06-04 11:41:50",159
821,"node-js","2017-06-04 12:23:45",107
9687,"java","2017-09-21 17:12:58",135
6376,"css","2017-10-25 17:52:39",103
6376,"html5","2017-11-20 21:17:09",53
6376,"javascript","2017-05-12 19:55:57",45
8274,"c-sharp","2017-09-18 08:03:46",196
5327,"angular-js","2017-04-30 14:33:42",156
5327,"aspnet-mvc-5","2017-02-02 08:53:50",133
7858,"android","2017-09-26 19:08:36",195
7858,"azure-administrator","2017-09-26 18:36:52",130
7858,"azure-for-developers","2017-09-26 18:28:34",129
7858,"azure-infrastructure-as-a-service","2017-09-26 18:45:01",198
7858,"mysql","2017-09-26 18:52:44",186
7858,"azure-solutions-architect","2017-09-26 18:11:28",176
8081,"maya-core-skills","2017-09-13 09:49:48",101
3133,"c-sharp","2017-06-25 14:40:10",112
3680,"java","2017-05-01 08:53:50",179
3680,"python","2017-05-01 09:08:37",202
1117,"angular-js","2017-06-09 06:03:59",119
1117,"java","2017-07-13 10:22:31",38
1117,"javascript","2017-04-07 12:24:02",99
1117,"mysql","2017-10-22 17:59:49",50
1117,"react","2017-08-11 15:58:00",150
1580,"android","2017-01-09 14:52:43",256
1580,"c-sharp","2017-01-10 09:41:25",271
1580,"css","2017-08-02 17:43:31",181
1580,"javascript","2017-08-02 17:35:58",121
490,"java","2017-10-06 15:23:51",102
6865,"angular-js","2017-02-27 07:11:47",46
6865,"azure-infrastructure-as-a-service","2017-09-20 07:53:46",60
6865,"c-sharp","2016-11-28 10:50:07",111
7684,"html5","2016-07-21 09:16:37",78
7684,"sharepoint","2017-01-09 11:51:50",180
3689,"c-sharp","2017-05-22 07:31:52",192
477,"azure-administrator","2017-09-25 22:39:08",132
4066,"aspnet-mvc-5","2017-07-05 12:49:24",152
4066,"c-sharp","2017-07-05 18:13:46",184
4066,"javascript","2017-07-14 10:36:49",111
1809,"aspnet-mvc-5","2017-05-05 15:20:11",193
1809,"c-sharp","2017-05-05 14:37:38",231
1809,"css","2017-05-05 14:58:56",223
1809,"javascript","2017-05-05 15:11:08",205
1809,"python","2017-05-05 14:51:06",192
8982,"css","2017-09-06 06:27:13",128
9920,"autocad","2017-09-25 12:21:55",178
9920,"azure-administrator","2017-10-10 10:53:54",155
9920,"mysql","2017-09-25 12:05:59",37
9920,"python","2017-10-05 11:26:55",86
8968,"after-effects-cc","2017-10-11 08:27:59",68
8968,"maya-core-skills","2017-10-11 08:17:13",103
8968,"maya-modeling","2017-10-11 08:24:28",93
7935,"c-sharp","2017-07-21 16:04:55",89
9158,"c-plus-plus","2017-11-28 06:12:22",151
9158,"c-sharp","2017-11-28 06:24:01",192
5594,"c-sharp","2017-03-07 22:53:32",55
8022,"c-sharp","2017-04-09 04:26:22",141
8022,"powershell","2017-04-09 04:36:31",164
4449,"maya-core-skills","2017-07-12 18:08:50",158
4186,"powershell","2017-03-05 20:48:22",212
9331,"aspnet-mvc-5","2017-09-13 04:30:32",129
9331,"c-sharp","2017-09-14 17:48:58",235
9331,"css","2017-09-14 17:57:45",57
9331,"javascript","2017-09-14 18:10:54",171
9331,"the-scrum-framework","2017-09-14 17:16:21",228
8496,"3ds-max-environment-modeling","2017-07-20 04:05:23",136
8496,"after-effects-cc","2017-03-01 12:48:40",121
8496,"aspnet-mvc-5","2017-03-01 12:33:05",58
8496,"c-sharp","2017-03-01 12:39:21",155
8496,"javascript","2017-01-23 01:05:13",147
1665,"c-sharp","2016-09-14 07:55:34",59
1665,"html5","2017-03-02 19:49:28",117
9209,"android","2017-11-06 04:40:53",210
9209,"java","2017-11-08 05:23:23",201
9209,"android-associate-developer","2017-11-02 06:44:53",242
3203,"c-plus-plus","2017-04-08 19:30:11",129
3203,"c-sharp","2017-02-26 21:57:42",165
7700,"docker","2017-03-29 16:19:43",174
7700,"react","2017-06-30 18:29:39",190
652,"c-sharp","2016-11-14 15:58:02",223
5685,"c-plus-plus","2017-07-11 23:12:43",147
9488,"after-effects-cc","2017-11-15 17:40:14",129
9466,"c-plus-plus","2017-10-28 15:27:08",115
9466,"html5","2017-11-20 15:52:50",86
9466,"python","2017-10-30 18:42:17",161
4954,"javascript","2017-06-29 10:50:40",167
4954,"react","2017-06-29 09:35:19",86
3436,"javascript","2017-09-27 12:58:30",170
9803,"html5","2017-09-21 20:53:51",118
62,"angular-js","2017-02-20 17:09:05",231
62,"css","2017-02-20 20:49:36",226
62,"graphic-design","2017-02-20 15:43:49",194
62,"html5","2017-02-20 15:11:55",210
62,"javascript","2017-05-17 18:58:10",181
62,"jquery","2017-02-20 21:37:11",214
62,"node-js","2017-02-20 15:26:59",177
62,"python","2017-02-21 20:22:03",98
62,"react","2017-03-30 16:59:52",73
583,"css","2016-10-11 20:29:59",108
583,"docker","2016-10-14 14:35:49",55
583,"html5","2017-05-01 20:13:46",87
583,"java","2017-03-06 22:29:22",163
583,"javascript","2016-10-14 14:18:44",207
2597,"c-plus-plus","2017-02-16 05:43:35",161
2597,"getting-started-in-houdini","2017-03-21 02:00:23",196
2597,"javascript","2017-02-24 06:36:09",142
2597,"unity-game-development-core-skills","2017-10-17 02:06:56",111
8338,"photoshop-photo-manipulation","2017-11-26 21:49:55",226
769,"angular-js","2017-08-23 08:01:25",129
1020,"c-sharp","2017-11-19 04:16:38",33
2226,"aspnet-mvc-5","2017-07-17 14:22:49",211
2226,"the-scrum-framework","2017-07-17 14:17:13",171
88,"html5","2017-10-19 05:43:09",108
88,"java","2017-10-27 07:50:54",82
88,"javascript","2017-10-19 06:30:35",98
88,"mysql","2017-10-19 06:35:02",111
88,"python","2017-10-19 07:16:44",173
3153,"c-sharp","2017-07-19 10:46:07",193
8059,"powershell","2017-06-11 19:58:10",185
4766,"c-sharp","2017-09-25 13:26:52",121
9761,"c-sharp","2017-03-15 05:51:47",225
9761,"css","2017-03-15 06:20:58",157
9761,"javascript","2017-03-15 06:02:36",170
2716,"photoshop","2016-10-04 21:21:33",170
2716,"python","2016-10-04 21:29:54",27
618,"java","2017-07-24 14:19:29",147
1449,"java","2017-06-25 22:57:39",180
1449,"python","2017-06-25 23:14:42",184
3340,"c-sharp","2017-04-10 16:54:05",90
3340,"html5","2016-11-28 01:08:15",193
3340,"mysql","2016-11-28 01:04:12",178
3340,"python","2017-05-09 12:21:52",149
3340,"sharepoint","2016-11-28 15:39:59",202
9296,"azure-for-developers","2017-09-14 11:20:13",148
2258,"aspnet-mvc-5","2017-01-28 19:44:44",237
9406,"java","2017-10-17 11:30:17",228
23,"java","2016-09-17 11:34:20",186
2575,"mysql","2017-07-05 17:39:30",78
5538,"angular","2017-10-08 03:43:35",173
5538,"java","2017-10-08 03:53:32",164
2999,"java","2017-10-24 13:02:39",60
2999,"python","2017-11-03 18:04:38",51
165,"css","2016-09-14 03:04:20",181
165,"html5","2016-09-14 02:54:26",192
165,"javascript","2016-10-04 07:13:55",236
165,"mysql","2016-09-14 03:20:35",158
165,"node-js","2016-09-14 03:25:55",161
3454,"c-plus-plus","2017-10-01 02:10:38",128
2191,"angular-js","2017-05-12 08:14:42",135
2191,"css","2017-05-12 08:19:55",165
2191,"javascript","2017-05-12 08:25:38",177
2191,"node-js","2017-06-11 22:18:40",70
2191,"react","2017-05-12 08:09:42",80
3084,"java","2017-08-22 10:59:06",71
2406,"c-plus-plus","2017-06-22 15:16:26",186
2406,"powershell","2017-06-25 14:05:57",152
2406,"python","2017-06-22 14:52:20",223
1071,"c-sharp","2017-09-29 18:52:07",73
5451,"active-directory-administration","2017-10-31 16:59:05",129
5451,"graphic-design","2017-10-31 17:13:13",8
6386,"group-policy-administration-and-troubleshooting","2017-04-03 12:35:30",149
2044,"html5","2017-01-13 10:15:35",249
7730,"mysql","2017-09-27 15:08:15",70
8552,"revit-architecture","2017-07-28 04:42:48",95
2402,"active-directory-administration","2017-10-09 08:41:49",198
6584,"angular-js","2016-08-12 09:35:12",223
4662,"premiere-pro-cc","2017-02-23 08:56:30",101
4662,"the-scrum-framework","2017-09-07 15:20:01",167
2638,"css","2017-11-14 07:20:39",80
2638,"graphic-design","2017-11-01 17:53:05",164
2638,"html5","2017-11-14 07:28:03",125
2638,"javascript","2017-11-01 04:13:29",84
2638,"jquery","2017-11-14 07:38:30",112
2638,"photoshop","2017-11-01 18:55:09",128
5993,"group-policy-administration-and-troubleshooting","2017-01-09 21:38:48",193
5000,"c-sharp","2017-11-25 17:49:11",70
5000,"html5","2017-11-25 19:17:45",74
89,"java","2017-02-10 04:59:22",154
89,"javascript","2017-07-25 06:15:01",166
89,"react","2017-07-25 06:28:52",153
7416,"angular-js","2017-07-25 15:07:00",152
7416,"javascript","2017-07-25 14:38:59",158
5362,"android","2017-03-10 19:25:58",131
5362,"angular-js","2017-01-24 16:06:29",91
5362,"css","2017-06-26 12:41:04",149
5362,"html5","2017-06-26 12:49:10",132
5362,"javascript","2017-05-29 08:31:58",88
4181,"angular","2017-10-03 04:45:20",122
4181,"angular-js","2017-05-06 01:32:33",157
4181,"css","2017-08-08 07:33:06",170
4181,"html5","2017-08-08 07:46:25",135
4181,"javascript","2017-06-27 02:23:14",156
4181,"jquery","2017-06-27 03:54:02",73
4181,"node-js","2017-06-27 03:48:11",104
4181,"react","2017-05-06 01:40:05",118
8359,"c-sharp","2017-06-22 21:16:23",146
9555,"mysql","2017-09-28 10:05:53",102
2435,"javascript","2016-12-04 16:44:46",199
1359,"mysql","2017-07-27 13:32:34",187
1359,"the-scrum-framework","2017-07-28 08:10:58",115
5166,"c-sharp","2017-11-10 03:42:45",173
4045,"c-sharp","2017-11-17 18:24:33",160
6876,"angular-js","2017-06-07 16:13:46",158
6876,"node-js","2017-05-23 18:00:45",197
3345,"maya-getting-started-with-modeling-in-maya","2017-08-07 23:52:36",119
3374,"c-sharp","2016-09-02 06:59:27",114
3968,"c-plus-plus","2017-10-13 07:09:56",137
3968,"c-sharp","2017-10-29 01:38:41",92
3968,"css","2017-10-13 07:15:02",23
3968,"java","2017-10-13 07:23:26",81
3968,"mysql","2017-10-13 07:28:59",214
5179,"c-plus-plus","2017-09-06 10:18:12",105
4104,"active-directory-administration","2017-09-11 09:26:00",122
4104,"game-environment-art","2017-08-22 20:07:51",159
6635,"security-for-hackers-and-developers","2017-11-08 17:08:57",181
7921,"css","2017-07-14 00:44:11",168
7921,"javascript","2017-07-14 00:38:14",155
7921,"python","2017-07-14 00:27:18",121
6627,"java","2017-07-30 17:08:53",177
5791,"c-sharp","2017-05-03 22:14:08",16
2428,"node-js","2017-09-27 13:31:06",187
263,"angular-js","2017-07-21 14:18:53",127
1948,"getting-started-in-houdini","2017-08-24 09:45:21",160
1948,"photoshop-photo-manipulation","2017-08-24 09:38:21",159
8755,"after-effects-cc","2017-08-28 19:24:44",75
8755,"illustrator","2016-09-29 18:33:32",160
8755,"photoshop","2016-09-29 18:28:09",130
8755,"photoshop-photo-manipulation","2016-09-29 18:19:53",171
2499,"angular-js","2016-07-28 17:47:12",36
2499,"c-sharp","2017-06-03 14:05:14",109
2499,"css","2017-02-02 22:34:47",180
2499,"html5","2017-02-02 22:28:57",169
2499,"javascript","2017-06-06 10:25:07",130
2499,"jquery","2017-02-02 22:41:13",166
6464,"javascript","2017-08-26 11:13:08",126
7656,"c-sharp","2017-03-06 15:21:30",47
6741,"active-directory-administration","2017-11-13 13:42:06",60
8165,"html5","2016-12-14 18:08:31",108
8165,"javascript","2017-04-18 20:23:51",72
6547,"the-scrum-framework","2017-10-11 14:54:29",142
2035,"3ds-max-environment-modeling","2017-08-01 09:29:59",54
2035,"illustrator","2017-08-01 09:44:59",138
2035,"photoshop","2017-08-01 09:56:29",99
2035,"photoshop-photo-manipulation","2017-08-01 09:51:08",98
2035,"premiere-pro-cc","2017-08-02 03:12:50",85
9221,"group-policy-administration-and-troubleshooting","2017-10-06 19:34:53",66
5093,"azure-administrator","2017-08-14 19:58:24",47
5093,"powershell","2017-08-23 23:51:08",77
382,"after-effects-cc","2017-11-17 10:20:15",118
382,"game-environment-art","2017-11-17 10:13:27",98
382,"photoshop","2017-11-17 10:36:32",198
382,"unity-game-development-core-skills","2017-11-17 10:04:10",195
8905,"c-plus-plus","2017-10-02 02:57:09",124
8905,"c-sharp","2017-09-30 19:35:01",131
1502,"illustrator","2017-08-31 18:34:51",96
1502,"maya-character-modeling","2017-09-01 08:04:41",129
1502,"maya-core-skills","2017-05-19 13:23:13",204
1502,"maya-environment-modeling","2017-09-01 07:57:31",86
1502,"maya-modeling","2016-12-08 23:03:53",159
1502,"photoshop","2016-10-06 22:37:52",154
1502,"photoshop-photo-manipulation","2017-08-31 18:27:31",137
2,"photoshop","2016-09-23 16:59:45",139
8344,"java","2017-08-30 09:20:57",208
3094,"c-sharp","2017-07-04 02:16:02",142
3094,"javascript","2016-09-21 21:41:20",114
3094,"powershell","2016-12-29 18:11:45",173
9283,"angular-js","2016-12-21 12:48:44",142
9283,"c-sharp","2016-12-21 13:00:02",117
9283,"css","2016-12-21 12:38:59",235
9283,"html5","2016-12-21 13:08:21",128
9283,"javascript","2016-12-21 13:31:41",224
9283,"jquery","2017-07-31 16:50:40",77
9283,"python","2016-12-21 13:38:52",216
1569,"azure-solutions-architect","2017-10-17 09:02:20",247
78,"mysql","2017-10-20 16:09:19",76
2913,"c-sharp","2017-01-15 22:24:17",168
4959,"c-sharp","2017-08-04 08:34:55",145
4959,"css","2017-08-03 08:24:49",122
4959,"html5","2017-08-03 08:36:47",189
4959,"javascript","2017-08-03 08:30:06",116
9384,"angular-js","2017-09-20 00:44:14",161
9384,"java","2017-09-20 00:35:09",194
9384,"javascript","2017-09-20 00:52:20",139
9384,"node-js","2017-07-08 03:56:24",79
1917,"aspnet-mvc-5","2017-06-28 01:31:20",109
1917,"c-sharp","2016-12-07 19:26:06",194
1917,"java","2017-09-28 03:42:46",207
600,"node-js","2017-11-24 12:55:33",60
8358,"angular","2017-10-15 12:40:03",259
8358,"css","2017-09-10 13:31:09",235
8358,"html5","2017-09-10 13:35:45",224
8358,"javascript","2017-09-10 19:50:42",172
8358,"jquery","2017-09-10 20:06:15",242
8358,"node-js","2017-09-10 19:56:54",124
8358,"react","2017-09-10 13:23:30",210
1443,"c-sharp","2017-06-26 17:06:58",75
1443,"css","2017-06-27 16:56:51",78
1443,"graphic-design","2017-07-25 17:49:44",105
1443,"html5","2017-06-27 16:51:06",92
1443,"javascript","2017-07-05 14:09:50",84
5696,"the-scrum-framework","2017-10-29 23:11:24",227
5136,"c-sharp","2017-07-19 16:18:30",151
5466,"javascript","2017-10-10 11:15:03",172
2056,"css","2017-01-19 21:12:45",135
2056,"game-environment-art","2017-08-30 17:41:31",133
2056,"graphic-design","2017-01-19 21:35:31",158
2056,"illustrator","2017-01-19 21:29:20",195
2056,"maya-character-modeling","2017-02-15 14:47:33",163
2056,"maya-modeling","2017-01-19 21:41:26",145
2056,"photoshop","2017-01-19 21:19:10",253
2056,"photoshop-photo-manipulation","2017-01-19 21:06:08",226
2056,"premiere-pro-cc","2017-01-19 21:24:10",73
2056,"python","2017-10-13 13:56:23",168
5974,"java","2017-10-12 20:24:09",96
2314,"c-sharp","2017-06-30 00:53:35",147
